2025년 7월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
품   목,항   목,규  격,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,평균,최대값,최소값,표준편차,Cp
,,,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,금,토,일,월,화,수,목,,,,,
옥수수,산   지,,,미산,,미산,,,미산,,미산,,,,,미산,,미산,,미산,,,미산,,,,,,,미산,,미산,,,,,,
,모선명,,,PAN,,PAN,,,PAN,,ACRA,,,,,ACRA,,ACRA,,PAN,,,PAN,,,,,,,PAN,,PAN,,,,,,
,,,,BICORN,,BICORN,,,BICORN,,,,,,,,,,,BICORN,,,BICORN,,,,,,,BICORN,,BICORN,,,,,,
,수   분,15% ↓,,13.55 ,,13.18 ,,,13.51 ,,13.65 ,,,,,,,,,,,,,,,,,,,13.16,,13.33,,13.40 ,13.65 ,13.16 ,,
,용적중,(中)685g/I ↑,,,,,,,,,,,,,,13.79 ,,13.36,,13.29,,,13.52,,,,,,,,,,,13.49 ,13.79 ,13.29 ,,
,,(美)695g/l ↑,,715.8 ,,704.9 ,,,706.3 ,,705.5,,,,,710,,707.2 ,,709.5 ,,,704.1 ,,,,,,,701.6 ,,703.6 ,,706.85 ,715.80 ,701.60 ,,
,손상립,,,1.6 ,,1.7 ,,,2.2 ,,2.1 ,,,,,1.9 ,,1.5 ,,1.3 ,,,2.0 ,,,,,,,1.2 ,,1.2 ,,,2.20 ,1.20 ,,
,파쇄립,,,1.7 ,,1.8 ,,,1.1 ,,1.1 ,,,,,1.8 ,,1.6 ,,1.5 ,,,1.1 ,,,,,,,1.4 ,,1.3 ,,,1.80 ,1.10 ,,
,이물,1%이하,,0.1 ,,0.1 ,,,0.1 ,,0.1 ,,,,,0.1 ,,0.1 ,,0.1 ,,,0.1 ,,,,,,,0.1 ,,0.1 ,,0.10 ,0.10 ,0.10 ,,
,옥세분진,,,1.2 ,,1.2 ,,,1.1 ,,1.0 ,,,,,1.1 ,,1.1 ,,1.1 ,,,1.1 ,,,,,,,1.1 ,,1.1 ,,,1.20 ,1.00 ,,
,BCFM,,,4.6 ,,4.8 ,,,4.4 ,,4.3 ,,,,,4.9 ,,4.3 ,,4.0 ,,,4.3 ,,,,,,,3.8 ,,3.7 ,,,,,,
,전분가(%),모선변경시,,,,,,,,,68.1 ,,,,,,,,,,,,,,,,,,,,,,,,68.10 ,68.10 ,,
,조단백(%),,,,,,,,,,7.2 ,,,,,,,,,,,,,,,,,,,,,,,,7.20 ,7.20 ,,
,조지방(%),,,,,,,,,,3.0 ,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,3.00 ,,
,조회분(%),,,,,,,,,,1.1 ,,,,,,,,,,,,,,,,,,,,,,,,1.10 ,1.10 ,,
,조섬유(%),,,,,,,,,,8.2 ,,,,,,,,,,,,,,,,,,,,,,,,8.20 ,8.20 ,,
,발아율(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,0.00 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"◎  전분, 부산물 분석일보",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수전분,ABS배출조단백,0.350% ↓,0.425 ,0.418 ,,,0.426 ,0.406 ,0.400 ,0.401 ,0.408 ,0.418 ,,,0.396 ,0.403 ,0.411 ,0.418 ,0.420 ,0.431 ,0.441 ,0.421 ,0.411 ,0.404 ,0.435 ,,,0.441 ,0.455 ,,0.461 ,0.443 ,0.453 ,0.42 ,0.461 ,0.396 ,,
,H/C전 조단백,0.350% ↓,0.512 ,0.499 ,중단,,0.512 ,0.503 ,0.527 ,0.547 ,0.533 ,0.522 ,중단,,0.501 ,0.512 ,0.521 ,0.499 ,0.531 ,0.544 ,0.565 ,0.531 ,0.506 ,0.501 ,0.521 ,중단,,0.512 ,0.524 ,_,0.535 ,0.521 ,0.534 ,0.52 ,0.57 ,0.50 ,,
,Grits,0.1% ↓,0.034 ,0.032 ,,,0.028 ,0.036 ,0.031 ,0.036 ,0.029 ,0.034 ,,,0.032 ,0.034 ,0.032 ,0.031 ,0.034 ,0.032 ,0.031 ,0.029 ,0.027 ,0.031 ,0.033 ,,,0.031 ,0.032 ,,0.034 ,0.032 ,0.034 ,0.03 ,0.04 ,0.03 ,,
,회  분,0.15% ↓,0.070 ,0.071 ,,,0.088 ,0.076 ,0.065 ,0.072 ,0.064 ,0.072 ,,,0.072 ,0.071 ,0.073 ,0.071 ,0.072 ,0.071 ,0.065 ,0.061 ,0.057 ,0.069 ,0.073 ,,,0.071 ,0.068 ,,0.071 ,0.068 ,0.071 ,0.07 ,0.09 ,0.06 ,,
"옥수수전분
(식품용-내수)",수  분,13% ↓,,,,,,,,,,,,,,,,,,,,9.20 ,,8.65 ,9.26 ,,,,,,,,,9.04 ,9.26 ,8.65 ,0.34 ,4.31 
,조단백,0.35%↓,,,,,,,,,,,,,,,,,,,,0.338 ,,0.349 ,0.339 ,,,,,,,,,0.34 ,0.349 ,0.338 ,,
,pH,4~7,,,,,,,,,,,,,,,,,,,,5.43 ,,5.44 ,5.35 ,,,,,,,,,5.41 ,5.44 ,5.35 ,,
,Grits,0.1% ↓,,,,,,,,,,,,,,,,,,,,0.021 ,,0.027 ,0.026 ,,,,,,,,,0.02 ,0.027 ,0.021 ,,
,회  분,0.15% ↓,,,,,,,,,,,,,,,,,,,,0.081 ,,0.066 ,0.068 ,,,,,,,,,0.07 ,0.081 ,0.066 ,,
,백 도,85 ↑,,,,,,,,,,,,,,,,,,,,91.1 ,,91.1 ,91.0 ,,,,,,,,,91.07 ,91.1 ,91.0 ,,
,SO2(ppm),,,,,,,,,,,,,,,,,,,,,3.20 ,,3.20 ,2.70 ,,,,,,,,,3.03 ,3.20 ,2.70 ,,
,잔류(ppm) - 키트법,,,,,,,,,,,,,,,,,,,,,0.0 ,,0.0 ,0.0 ,,,,,,,,,0.00 ,0.0 ,0.0 ,,
,잔류(ppm) - 비색법,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
"옥수수전분
(수출용)",수  분,13% ↓,,,,,,,,8.86 ,9.12 ,8.39 ,8.92 ,,,,,,9.72 ,,,,8.07 ,,,,,,,,,,,8.85 ,9.72 ,8.07 ,,
,조단백,0.35%↓,,,,,,,,0.331 ,0.329 ,0.342 ,0.34,,,,,,0.349,,,,0.340 ,,,,,,,,,,,0.34 ,0.35 ,0.33 ,,
,pH,4~7,,,,,,,,5.12 ,5.21 ,5.02 ,5.11,,,,,,5.39,,,,5.11 ,,,,,,,,,,,5.16 ,5.39 ,5.02 ,,
,Grits,0.1% ↓,,,,,,,,0.025 ,0.027 ,0.024 ,0.028,,,,,,0.026 ,,,,0.025 ,,,,,,,,,,,0.03 ,0.03 ,0.02 ,,
,회  분,0.15% ↓,,,,,,,,0.067 ,0.065 ,0.066 ,0.061 ,,,,,,0.068 ,,,,0.072 ,,,,,,,,,,,0.07 ,0.07 ,0.06 ,,
,백 도,85 ↑,,,,,,,,91.1 ,91.1 ,91.1 ,91.1 ,,,,,,91.1 ,,,,91.1 ,,,,,,,,,,,91.10 ,91.10 ,91.10 ,,
,SO2(ppm),,,,,,,,,3.20 ,3.20 ,3.20 ,3.2,,,,,,1.8,,,,3.20 ,,,,,,,,,,,2.97 ,3.20 ,1.80 ,,
,잔류(ppm) - 키트법,,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,0.00 ,,,,0.0 ,,,,,,,,,,,0.00 ,0.00 ,0.00 ,,
,잔류(ppm) - 비색법,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
"초산전분
(수출용)
(썬에이스)",수  분,13% ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,#DIV/0!,#DIV/0!
,조단백,0.35%↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.000 ,0.000 ,,
,pH,3~9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,회  분,0.8% ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.000 ,0.000 ,,
,SO2(ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,잔류(ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
"초산전분
(썬에이스H)",수  분,15% ↓,,,,,8.37 ,9.14 ,,,,,,,,,,,,,,,,,,,,,,,,,,8.76 ,9.14 ,8.37 ,0.54 ,2.83 
,pH(20%),4~8,,,,,6.22 ,6.45 ,,,,,,,,,,,,,,,,,,,,,,,,,,6.34 ,6.450 ,6.220 ,,
,회  분,0.6% ↓,,,,,0.086 ,0.086 ,,,,,,,,,,,,,,,,,,,,,,,,,,0.09 ,0.09 ,0.09 ,,
,SO2(ppm),50 ↓,,,,,3.2 ,3.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,3.20 ,3.200 ,3.200 ,,
"옥수수전분
(산업용)",수  분,13% ↓,10.58 ,9.61 ,,,11.40 ,8.34 ,10.23 ,10.33 ,11.56 ,10.68 ,9.97 ,,12.16,10.98,11.59 ,9.73 ,12.06,9.72 ,10.41 ,8.90 ,10.44,10.99 ,11.70 ,,,9.58 ,11.92 ,,11.79 ,11.89,10.10 ,10.67 ,12.16 ,8.34 ,1.04 ,1.50 
,조단백,0.35%↓,0.349 ,0.336 ,,,0.389 ,0.351 ,0.340 ,0.342 ,0.337 ,0.381 ,0.357 ,,0.363,0.345,0.344 ,0.331 ,0.355,0.337 ,0.354 ,0.349 ,0.355,0.350,0.359 ,,,0.347 ,0.356 ,,0.367 ,0.363,0.367 ,0.35 ,0.389 ,0.331 ,,
,"pH (GIC0041K)
한국, 삼화",6.0 ~ 7.0,6.63 ,6.29 ,,,,6.68 ,,,,,6.41 ,,,,,6.37 ,,6.64 ,,6.26 ,,,,,,6.34 ,,,,,,6.45 ,6.68 ,6.26 ,,
,"pH (GIC0041D)
대상",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,"pH (GIC0041P)
한솔 외",4.0 ~ 7.0,,,,,4.68 ,,5.51 ,5.62 ,4.79 ,4.88 ,,,4.46 ,5.94 ,4.83,4.49 ,4.91 ,,4.58 ,,4.21 ,4.39 ,5.26 ,,,4.43 ,4.29 ,,4.31 ,4.92 ,4.45 ,4.79 ,5.94 ,4.21 ,,
,Grits,0.1% ↓,0.024 ,0.027 ,,,0.036 ,0.027 ,0.032 ,0.038 ,0.028 ,0.032 ,0.026 ,,0.028,0.027 ,0.029,0.024,0.027 ,0.029,0.027,0.026,0.023,0.034,0.028,,,0.026,0.025,,0.028,0.027,0.025 ,0.03 ,0.038 ,0.023 ,,
,회  분,0.15% ↓,0.072 ,0.065 ,,,0.077 ,0.079 ,0.077 ,0.081 ,0.062 ,0.075 ,0.071 ,,0.067,0.065 ,0.069,0.066 ,0.069 ,0.068,0.066 ,0.068 ,0.062,0.069,0.067,,,0.069,0.068,,0.064,0.072,0.069 ,0.07 ,0.081 ,0.062 ,,
,백 도,85 ↑,91.2 ,91.0 ,,,91.1 ,91.1 ,91.1 ,91.1 ,91.1 ,91.1 ,91.1 ,,91.1 ,91.2 ,91.0 ,91.1 ,91.1 ,91.2 ,91.1 ,91.1 ,91.1 ,91.1 ,91.1 ,,,91.0 ,91.0 ,,91.1 ,91.2 ,91.0 ,91.10 ,91.20 ,91.00 ,,
,잔류(ppm),,15.3 ,13.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25 ,15.30 ,13.20 ,,
,SO2(ppm),,,,,,12.8 ,9.6 ,9.6 ,12.8 ,9.6 ,12.8 ,12.9 ,,11.9 ,14.4 ,16.6 ,15.4 ,16.6 ,10.9,12.8,9.6,9.60 ,9.60 ,14.10 ,,,15.6 ,11.6,,13.9 ,16.6 ,12.50 ,12.69 ,16.60 ,9.60 ,,
"산화전분
(썬사이즈)",수  분,13% ↓,,11.43 ,12.24 ,,,10.98 ,12.17 ,,,,,,11.61,11.63,,,,,,11.39,,,10.85,,,,11.36,,11.5,,,11.52 ,12.24 ,10.85 ,0.44 ,1.62 
,"점  도
(cps)",8~12,,11.7 ,,,,10.0 ,10.6 ,,,,,,11.9 ,11.6 ,,,,,,10.4 ,,,,,,,11.4 ,,11.6 ,,,11.15 ,11.90 ,10.00 ,,
,,15~20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,,18~22,,,20.4 ,,,,,,,,,,,,,,,,,,,,22.40 ,,,,,,,,,21.40 ,22.40 ,20.40 ,,
,,60~100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.000 ,0.000 ,,
,,"1,000~1,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.000 ,0.000 ,,
,pH,6.5~7.5,,6.79 ,6.72 ,,,6.61 ,6.38 ,,,,,,6.72 ,6.93 ,,,,,,6.38 ,,,6.79 ,,,,6.64 ,,6.73 ,,,6.67 ,6.93 ,6.38 ,,
,회  분,1.5% ↓,,1.55 ,1.61 ,,,1.86 ,1.87 ,,,,,,1.61 ,1.69 ,,,,,,1.91 ,,,1.55 ,,,,1.63 ,,1.59 ,,,1.69 ,1.91 ,1.55 ,,
,,기포 Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,0.00 ,,
플라이스타,점도,"1,500 ↑",,,,,,,,2031,2233,2231,,,,,,2267,,,,,,,,2228,,,,,,2193,,2197.17 ,2267.00 ,2031.00 ,,
"양성전분
(썬캐스타)",수  분,15% ↓,11.44 ,,,12.31 ,11.62 ,12.26 ,,11.50 ,11.31 ,11.91 ,11.33,,,11.71 ,,,12.36 ,11.42 ,11.77 ,,11.56 ,11.54 ,11.89 ,11.89 ,11.60 ,,,11.89 ,12.44 ,11.97 ,11.62 ,11.78 ,12.44 ,11.31 ,0.34 ,3.62 
,pH(4%),5.0 ~ 7.0,5.96 ,,,5.82 ,5.19 ,5.41 ,,5.32 ,5.33 ,5.26 ,5.19 ,,,5.79 ,,,5.61 ,5.73 ,5.14 ,,5.39 ,5.41 ,5.84 ,5.88 ,5.71 ,,,5.79 ,5.58 ,5.91 ,5.72 ,5.57 ,5.96 ,5.14 ,,
,치환도,0.035~0.049,,,,,,,,,,,,,,0.042,,,,,,,,,,,,,,,,,,0.04 ,0.042,0.042,,
,,0.050~0.069,,,,0.061 ,0.051,0.053,,,,,,,,,,,0.061,0.059,0.053,,,,,,0.074,,,0.059 ,0.061 ,0.062,0.061,0.06 ,0.074,0.051,,
,,0.070~0.080,0.074,,,,,,,0.071 ,0.070 ,0.071 ,0.072 ,,,,,,,,,,0.070 ,0.072 ,0.076 ,0.076 ,,,,,,,,0.07 ,0.076,0.07,,
,"6060 점도(BU)
Point ""E""",900BU↑,,,,684 ,846,825,,,,,,,,,,,722 ,784 ,786 ,,,,,,,,,503 ,733 ,723 ,747,735.30 ,846,503,,
,"6080 점도(BU)
Point ""C""",4%,161,,,,,,,169,164,149,189,,,,,,,,,,179,694,643,633,643,,,,,,,362.40 ,694,149,,
,호화개시온도,,46.2 ,,,52.4,54.9,54.4,,45.9 ,46.0 ,47.9,45.8,,,,,,47.4 ,54.3 ,55.2 ,,45.2 ,47.1 ,46.2 ,45.6 ,46.7 ,,,46.8 ,54.5 ,54.3 ,56.0 ,49.64 ,56,45.2,,
"듀얼스타
(C6090)",수분,15% ↓,,11.44 ,11.97 ,,,,11.14 ,11.45 ,,,,,10.95,,12.78,11.9,,,,12.18,11.72,,,,,11.94,,,,,,11.75 ,12.78 ,10.95 ,0.53 ,1.28 
,pH(5%),7.0 ~ 9.0,,8.59 ,8.77 ,,,,8.72 ,8.46 ,,,,,8.41 ,,8.71 ,8.59 ,,,,8.46 ,8.41 ,,,,,8.66 ,,,,,,8.58 ,8.8 ,8.4 ,,
,치환도(%),0.7~0.08,,0.073 ,0.074 ,,,,0.071 ,0.071 ,,,,,0.074 ,,0.075,0.074 ,,,,0.070 ,0.071 ,,,,,0.074 ,,,,,,0.07 ,0.08 ,0.07 ,,
젠코트,수분,13% ↓,9.18 ,,,,10.45 ,9.99 ,,,,,,,,,,,,,10.71,,,,,,,,11.75,,,,,10.42 ,11.75 ,9.18 ,0.95 ,1.35 
,점도(95℃30분),250~350,250 ,,,,250 ,270 ,,,,,,,,,,,,,260 ,,,,,,,,250 ,,,,,256.00 ,270.0 ,250.0 ,,
,회분,2.0 ↓,2.11 ,,,,1.93 ,1.91 ,,,,,,,,,,,,,1.85 ,,,,,,,,2.19 ,,,,,2.00 ,2.19 ,1.85 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"썬슈퍼젤
(입도:오리온
이천)",수분,10% ↓,,3.12 ,3.13,3.29,3.24,3.37 ,3.23,4.08,3.23,3.18,,,2.84,3.41,3.50,4.29,3.56 ,4.11 ,4.49,3.68 ,3.28 ,3.64,,,,,,,,,,3.51 ,4.49 ,2.84 ,,
,입도  40# on,3 ↓,,0.1,0.1,0.1,0.1,0.1,0.1 ,0.1 ,0.1,0.1,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1 ,0.1,0.1,0.1,,,,,,,,,,0.10 ,0.10 ,0.10 ,,
,          80# on,10 ~ 40,,12.5,11.5,13.2,17.8,16.2 ,18.6 ,16.7 ,18.4,16.4 ,,,12.3,13.3,12.4,13.2,12.6,13.2,16.9 ,19.5,17.5 ,18.8,,,,,,,,,,15.32 ,19.50 ,11.50 ,,
,          120# on,10 ~ 40,,17.5,21.0 ,18.3,19.5,14.9,15.1 ,17.4 ,11.8,20.8,,,18.5,18.7,19.2,17.5,19.6,19.1 ,21.2 ,11.6 ,19.2,15.6,,,,,,,,,,17.71 ,21.20 ,11.60 ,,
,pass,80 ↓,,69.9,67.4,68.4,62.6,68.8,66.2 ,65.8,69.7,62.7,,,69.1,67.9 ,68.3 ,69.2 ,67.7,67.6,61.8 ,68.8,63.2 ,65.5,,,,,,,,,,66.87 ,69.90 ,61.80 ,,
,팽화력,26 ↑,,29/31,28/30,30/33,30/31,30/29,30/30,30/31,29/29,30,,,30/32,29/32,30/33,29/32,30/32,29/31,30/30,31/31,30/31,03월 30일,,,,,,,,,,22888.00 ,45746.00 ,30.00 ,,
썬프리젤,수  분,10% ↓,,,,,,,,,,,,,,,,,,,,,,,,,3.18 ,3.46 ,3.53 ,,,,,3.39 ,3.53 ,3.18 ,0.19 ,12.27 
,입도(60#Thr),60% ↑,,,,,,,,,,,,,,,,,,,,,,,,,69.4 ,70.4 ,76.4,,,,,72.07 ,76.40 ,69.40 ,,
,백도(CJ영등포),90% ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,이  물,"""zero""",,,,,,,,,,,,,,,,,,,,,,,,,무,무,무,,,,,,,,,
썬텐더H,수? 분,13% ↓,,,,,,,,,,,,,,,,,,,7.83 ,8.18 ,,,,,,,,,,,,8.01 ,8.18 ,7.83 ,,
,pH,5~7,,,,,,,,,,,,,,,,,,,6.18 ,6.31 ,,,,,,,,,,,,6.25 ,6.31 ,6.18 ,,
,점도(BU),200~300,,,,,,,,,,,,,,,,,,,193,239,,,,,,,,,,,,216.00 ,239.00 ,193.00 ,,
,회분,0.6 ↓,,,,,,,,,,,,,,,,,,,0.28,0.27,,,,,,,,,,,,0.28 ,0.28 ,0.27 ,,
"썬포스
썬포스200",수? 분,13% ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,FOS함량,(썬포스)40 ↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,,(썬포스200)20 ↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
글루텐피드,수  분,13% ↓,4.27 ,4.22 ,,,3.97 ,4.09 ,3.64 ,4.07 ,4.04 ,4.78 ,,,4.35 ,4.89 ,4.94 ,4.55 ,5.33 ,3.72 ,5.35 ,3.87 ,4.32 ,5.09 ,4.37 ,,,4.50 ,4.56 ,4.30 ,4.49 ,5.02 ,4.33 ,4.44 ,5.35 ,3.64 ,0.47 ,6.68 
,,,3.87 ,4.43 ,,,4.22 ,4.24 ,4.10 ,4.24 ,4.35 ,4.18 ,,5.15 ,4.55 ,5.36 ,5.87 ,4.15 ,5.01 ,4.21 ,4.74 ,4.87 ,5.01 ,4.69 ,5.10 ,,,4.71 ,4.40 ,4.66 ,4.55 ,4.74 ,4.05 ,4.59 ,5.87 ,3.87 ,,
,조단백,18% ↑,20.41 ,20.74 ,,,18.19 ,19.01 ,20.64 ,20.79 ,20.18 ,20.15 ,,,20.85 ,19.94 ,20.77 ,21.16 ,22.41 ,21.84 ,21.01 ,20.91 ,20.93 ,21.17 ,21.91 ,,,20.61 ,19.11 ,19.72 ,20.41 ,22.44 ,20.74 ,20.64 ,22.44 ,18.19 ,0.90 ,1.65 
