2025년 7월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20.87 ,21.06 ,,,18.33 ,19.26 ,20.89 ,20.38 ,20.72 ,20.42 ,,20.17 ,20.41 ,20.71 ,20.34 ,20.54 ,21.82 ,21.52 ,20.86 ,20.78 ,20.62 ,21.30 ,21.45 ,,,19.82 ,19.92 ,19.33 ,19.73 ,21.87 ,21.26 ,20.55 ,21.87 ,18.33 ,,
,전분가(화),▽,17.5 ,,,,,,,,,,,,,21.12 ,,,,,,,,,,,,,,,19.02 ,,,19.21 ,21.12 ,17.50 ,,
글루텐,수  분,13% ↓,5.29 ,5.19 ,,,5.88 ,5.68 ,4.26 ,5.80 ,6.34 ,6.09 ,,,5.80 ,5.98 ,5.99 ,7.57 ,6.63 ,6.54 ,6.02 ,6.69 ,6.75 ,6.08 ,7.00 ,,,6.85 ,6.62 ,6.48 ,5.82 ,6.47 ,6.37 ,6.17 ,7.57 ,4.26 ,0.61 ,4.77 
,,,5.50 ,4.96 ,,,6.81 ,7.03 ,4.48 ,6.79 ,6.77 ,6.23 ,,5.80 ,5.76 ,6.01 ,6.20 ,6.29 ,6.44 ,6.37 ,6.57 ,6.25 ,6.32 ,6.31 ,6.44 ,,,6.40 ,6.31 ,6.67 ,6.36 ,5.98 ,6.50 ,6.21 ,7.03 ,4.48 ,,
,조단백,60% ↑,63.98 ,65.17 ,,,65.06 ,63.77 ,67.78 ,65.11 ,64.19 ,65.98 ,,,64.07 ,64.84 ,63.17 ,64.72 ,6.14 ,66.47 ,65.77 ,65.19 ,64.16 ,65.79 ,66.11 ,,,64.25 ,63.61 ,65.31 ,66.41 ,66.62 ,65.31 ,62.76 ,67.78 ,6.14 ,8.30 ,0.31 
,,,64.61 ,64.63 ,,,65.37 ,63.48 ,67.22 ,65.32 ,64.58 ,65.14 ,,63.61 ,63.52 ,64.17 ,64.25 ,64.00 ,65.47 ,66.27 ,65.32 ,65.48 ,64.40 ,65.36 ,65.42 ,,,65.06 ,64.22 ,64.79 ,65.36 ,65.79 ,65.82 ,64.95 ,67.22 ,63.48 ,,
,조지방,3% ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,전분가(수),▽,39.1 ,,,,,,,,,,,,,38.75 ,,,,,,,,,,,,,,,38.85 ,,,38.90 ,39.10 ,38.75 ,,
배아,수  분,10% ↓,6.47 ,7.84 ,,,6.49 ,6.51 ,6.06 ,6.04 ,6.66 ,5.76 ,,,5.94 ,6.06 ,6.06 ,0.26 ,7.16 ,6.70 ,6.16 ,6.62 ,6.45 ,6.57 ,7.01 ,,,7.25 ,7.10 ,6.70 ,6.41 ,0.53 ,6.42 ,6.05 ,7.84 ,0.26 ,1.32 ,2.46 
,,,6.32 ,7.86 ,,,6.73 ,7.35 ,6.36 ,6.44 ,6.99 ,6.47 ,,7.35 ,5.81 ,6.57 ,6.73 ,7.54 ,6.75 ,6.45 ,6.53 ,6.40 ,6.71 ,7.42 ,6.56 ,,,6.86 ,6.71 ,6.51 ,5.93 ,6.05 ,5.49 ,6.65 ,7.86 ,5.49 ,,
,조지방,42% ↑,42.5 ,42.7 ,,,42.1 ,42.3 ,42.2 ,42.30 ,42.2 ,42.1 ,,,42.6 ,42.6 ,42.3 ,42.4 ,42.6 ,42.7 ,42.2 ,42.3 ,42.2 ,42.1 ,42.6 ,,,42.4 ,42.6 ,42.6 ,42.4 ,42.6 ,42.4 ,42.40 ,42.70 ,42.10 ,0.2 ,1.24 
,,,42.8 ,42.4 ,,,42.2 ,42.3 ,42.1 ,42.10 ,42.2 ,42.1 ,,42.4 ,42.3 ,42.5 ,42.5 ,42.6 ,42.3 ,42.4 ,42.3 ,42.3 ,42.3 ,42.3 ,42.4 ,,,42.6 ,42.5 ,42.3 ,42.7 ,42.5 ,42.6 ,42.38 ,42.80 ,42.10 ,,
,전분가(목),▽,20.11 ,,,,,,,,,,,,,18.85 ,,,,,,,,,,,,,,,22.12 ,,,20.36 ,22.12 ,18.85 ,,
,SO2(ppm) 리퍼법,-,31.1 ,30.5 ,,,35.2 ,32.0 ,38.4 ,35.2 ,32.0 ,35.2 ,,31.3 ,32.2 ,30.6 ,31.3 ,31.4 ,32.2 ,30.4 ,35.2 ,32.0 ,38.2 ,35.2 ,33.1 ,,,32.2 ,33.1 ,32.3 ,31.5 ,32.7 ,31.30 ,,,,,
C.S.L,전분가(금),▽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0.00 ,0.00 ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◎ 전분당 분석일보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정제포도당,수  분,10% ↓,,,,,,,,,,,,,,,,,,,,9.24 ,9.16 ,8.51 ,8.96 ,8.26 ,8.48 ,8.73 ,8.65 ,8.17 ,8.40 ,8.16 ,,8.61 ,9.24 ,8.16 ,0.38 ,1.62 
,입도(20#on),2% ↓,,,,,,,,,,,,,,,,,,,,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,,0.04 ,0.12 ,0.00 ,,
,입도(50#on),-,,,,,,,,,,,,,,,,,,,,38.8 ,41.4 ,45.0 ,44.3 ,39.8 ,37.6 ,33.4 ,30.4 ,28.4 ,21.7 ,18.4 ,,34.47 ,45.00 ,18.36 ,,
,입도(50#pass),-,,,,,,,,,,,,,,,,,,,,61.2 ,58.6 ,55.0 ,55.7 ,60.2 ,62.4 ,66.5 ,69.5 ,71.6 ,78.18,81.52,,65.49 ,81.52 ,55.00 ,,
,이  물,500g용해,,,,,,,,,,,,,,,,,,,,적합,적합,적합,적합,적합,적합,적합,적합,적합,적합,적합,,,,,,
,"당함량
(HPLC)",DP1,,,,,,,,,,,,,,,,,,,,93.67 ,95.88 ,95.22 ,94.97 ,95.64 ,94.07 ,95.69 ,95.61 ,95.76 ,96.46 ,96.11 ,,95.37 ,96.46 ,93.67 ,,
,,DP2,,,,,,,,,,,,,,,,,,,,4.08 ,3.50 ,3.80 ,4.03 ,3.41 ,4.44 ,3.25 ,3.31 ,3.34 ,2.80 ,3.04 ,,3.55 ,4.44 ,2.80 ,,
,,DP3+,,,,,,,,,,,,,,,,,,,,0.89 ,0.62 ,0.98 ,1.01 ,0.95 ,0.64 ,1.06 ,1.08 ,0.90 ,0.74 ,0.85 ,,0.88 ,1.08 ,0.62 ,,
함수포도당,수  분,10% ↓,,,7.83 ,5.28 ,7.71 ,8.1 ,7.64 ,6.71,7.90 ,7.83 ,7.54 ,8.09 ,8.26 ,7.73 ,8.28 ,8.38 ,8.23 ,8.07 ,,,8.45 ,7.68 ,7.67 ,6.82 ,7.22 ,8.40 ,8.31 ,7.42 ,5.50 ,7.80 ,7.52 ,7.64 ,8.45 ,5.28 ,0.79 ,2.00 
,입도(20#on),2% ↓,,,0.28 ,0.1 ,0.1 ,0.1,0,0,0,24.6,0,0.0 ,0.0 ,0.14,0.0 ,0.0 ,0.0 ,0.0 ,,,0,0.0,0.0,0,0,0,0.0 ,0.0 ,0,0.4,0,0.95 ,24.60 ,0.00 ,,
,입도(50#pass),-,,,77.00 ,75.10,72.4,77.3,72.9,81.60 ,72.2,75.1 ,81.4,72.9 ,73.6 ,65.3,77.2,81.4 ,64.76,81.2 ,,,60.8 ,80.4 ,69.3 ,81.6,77.6,70.7 ,74.6 ,70.6 ,81.04,61.86,68.5,74.01 ,81.60 ,60.80 ,,
,이  물,쇳가루 유무,,,무,무,무,무,무,무,무,무,무,무,무,무,무,무,무,무,,,무,무,무,무,무,무,무,무,무,무,무,,,,,
,"당함량
(HPLC)",DP1,,,99.85 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,99.78 ,99.84 ,100.00 ,99.56 ,99.73 ,,,99.58 ,100.00 ,99.71 ,100.00 ,100.00 ,100.00 ,100.00 ,99.73 ,99.76 ,99.80 ,99.79 ,99.89 ,100.00 ,99.56 ,,
,,DP2,,,0.15 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.22 ,0.16 ,0.00 ,0.43 ,0.27 ,,,0.06 ,0.00 ,0.29 ,0.00 ,0.00 ,0.00 ,0.00 ,0.27 ,0.24 ,0.03 ,0.04 ,0.08 ,0.43 ,0.00 ,,
,,DP3+,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,0.37 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.17 ,0.17 ,0.03 ,0.37 ,0.00 ,,
무수포도당,수  분,0.5% ↓,0.55 / 0.56,0.68/0.66,0.60/0.57,0.57/0.62,0.74/0.84,0.41 ,0.62,0.46,0.54/0.59,0.97/1.01,0.50 ,0.55 ,0.52,0.30 / 0.20,0.23 ,,0.65/0.66,0.19/0.21,0.19 ,0.27 ,1.55 ,0.45 ,0.76,0.68 ,0.72,0.46 ,0.38 ,0.40 ,0.68,0.49 ,0.47,0.54 ,1.55 ,0.19 ,0.284,0.36 
,입도(60#on),-,48.2 ,22.74 ,62.73 ,47.78 ,44.7 ,46.5 ,24.9 ,42.40 ,23.60 ,18.7 ,38.90 ,31.9 ,31.4 ,22.74 ,23.0 ,,37.3 ,33.6 ,31.5 ,40.6 ,45.9 ,39.7 ,18.1 ,38.0 ,26.3 ,26.4 ,29.3 ,47.6 ,20.2 ,38.9 ,35.2 ,34.63 ,62.73 ,18.10 ,,
,이  물,쉿가루 유무,무,무 ,무,무,무,무,무,무,무,무,무,무,무,무,무,,무,무,무,무,무,무,무,무,무,무,무,무,무,무,무,,,,,
,"당함량
(HPLC)",DP1,99.61 ,98.89 ,99.50 ,99.00 ,99.51 ,99.62 ,99.44 ,99.52 ,99.53 ,99.50 ,99.39 ,99.60 ,99.60 ,99.40 ,99.57 ,,99.35 ,99.40 ,99.49 ,99.4,99.373,99.08 ,99.48 ,0.47 ,99.46 ,99.57 ,99.60 ,99.52 ,99.29 ,99.57 ,99.51 ,96.14 ,99.62 ,0.47 ,,
,,DP2,0.39 ,0.84 ,0.50 ,0.49 ,0.49 ,0.38 ,0.48 ,0.39 ,0.38 ,0.40 ,0.53 ,0.40 ,0.40 ,0.60 ,0.43 ,,0.65 ,0.60 ,0.51 ,0.60 ,0.04 ,0.92 ,0.41 ,99.53 ,0.54 ,0.43 ,0.40 ,0.48 ,0.39 ,0.03 ,0.44 ,3.77 ,99.53 ,0.03 ,,
,,DP3+,0.00 ,0.27 ,0.00 ,0.51 ,0.00 ,0.000 ,0.09 ,0.10 ,0.09 ,0.10 ,0.09 ,0.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,0.00 ,0.00 ,0.00 ,0.59 ,0.00 ,0.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.31 ,0.39 ,0.04 ,0.09 ,0.59 ,0.00 ,,
"액상포도당
(G-60)",수  분,40% ↓,36.0 ,36.8 ,36.5 ,36.5 ,,,36.7 ,34.8 ,35.6 ,34.70 ,36.4 ,,,,37.1 ,36.7 ,36.9 ,37.5 ,,,36.5 ,,38.4 ,35.0 ,36.7 ,,,36.5 ,34.7 ,34.9 ,,36.25 ,38.40 ,34.70 ,1.0 ,1.75 
,DE,96 ↑,96.39 ,96.98 ,96.63 ,96.71 ,,,96.91 ,97.23 ,97.00 ,97.10 ,96.80 ,,,,97.28 ,96.34 ,95.98 ,96.62 ,,,97.24 ,,97.46 ,97.43 ,97.30 ,,,96.86 ,97.52 ,97.43 ,,96.96 ,97.52 ,95.98 ,,
,pH,4~7,6.36 ,5.78 ,5.75 ,5.80 ,,,6.34.,5.94 ,5.81 ,5.84 ,5.71 ,,,,6.33 ,6.14 ,6.16 ,6.20 ,,,4.58 ,,6.18 ,5.87 ,6.09 ,,,5.87 ,5.84 ,5.88 ,,5.90 ,6.36 ,4.58 ,,
,"당함량
(HPLC)",DP1,94.25 ,95.00 ,94.55 ,94.72 ,,,94.86 ,95.18 ,94.77 ,94.93 ,94.72 ,,,,95.01 ,93.83 ,93.29 ,94.23 ,,,95.24 ,,95.54 ,95.53 ,95.38 ,,,94.69 ,95.71 ,95.54 ,,94.85 ,95.71 ,93.29 ,,
,,DP2,3.89 ,3.66 ,3.80 ,3.65 ,,,3.82 ,3.86 ,4.18 ,4.11 ,3.82 ,,,,4.34 ,4.65 ,4.98 ,4.45 ,,,3.81 ,,3.60 ,3.54 ,3.57 ,,,4.00 ,3.38 ,3.53 ,,3.93 ,4.98 ,3.38 ,,
,,DP3+,1.86 ,1.34 ,1.65 ,1.63 ,,,1.33 ,0.96 ,1.04 ,0.96 ,1.46 ,,,,0.65 ,1.51 ,1.73 ,1.32 ,,,0.95 ,,0.86 ,0.93 ,1.05 ,,,1.31 ,0.91 ,0.93 ,,1.22 ,1.86 ,0.65 ,,
이온물엿,수분,18% ↓,,,,,,,,,,,,,,,,,,,,,,17.8 ,,,,,,,,,,17.80 ,17.80 ,17.80 ,#DIV/0!,#DIV/0!
,DE,40~44,,,,,,,,,,,,,,,,,,,,,,40.7 ,,,,,,,,,,40.70 ,40.70 ,40.70 ,,
,pH,4.5~7,,,,,,,,,,,,,,,,,,,,,,6.16 ,,,,,,,,,,6.16 ,6.16 ,6.16 ,,
아이스당,수분,25% ↓,,,,,,,,,,,,,23.6 ,24.0 ,,23.5 ,,,,,,,,,,,,,,,,23.70 ,24.00 ,23.50 ,0.3 ,1.89 
,DE,40~44,,,,,,,,,,,,,42.7 ,40.0 ,,42.3 ,,,,,,,,,,,,,,,,41.67 ,42.70 ,40.00 ,,
,pH,4.5~7,,,,,,,,,,,,,5.82 ,6.45 ,,6.47 ,,,,,,,,,,,,,,,,6.25 ,6.47 ,5.82 ,,
고감미물엿82,수분,18% ↓,17.5 ,17.7 ,17.1 ,,,17.6 ,17.9 ,17.60 ,18.0 ,18.0 ,17.7 ,,17.6 ,17.4 ,17.6 ,17.8 ,,,,17.5 ,,17.3 ,17.7 ,17.8 ,17.4 ,17.6 ,17.7 ,17.5 ,17.7 ,17.5 ,,17.62 ,18.00 ,17.10 ,0.2 ,1.41 
,DE,42~48,45.4 ,45.6 ,45.3 ,,,41.4 ,43.3 ,45.1 ,40.4 ,43.8 ,42.4 ,,43.1 ,41.2 ,43.4 ,41.4 ,,,,38.9 ,,41.5 ,43.5 ,41.3 ,42.1 ,42.7 ,44.9 ,43.4 ,42.8 ,44.4 ,,42.93 ,45.60 ,38.93 ,1.7 ,(2.66)
,pH,4.5~7,6.42 ,6.36 ,6.39 ,,,6.28 ,6.16 ,5.94 ,6.07 ,6.22 ,6.36 ,,5.79 ,6.47 ,6.49 ,6.39 ,,,,,,4.97 ,6.19 ,5.76 ,6.12 ,5.61 ,5.79 ,6.32 ,6.22 ,6.18 ,,6.11 ,6.49 ,4.97 ,,
"맥아물엿
맥아아이스당",수분,18% ↓,17.8 ,17.8 ,17.5 ,17.5 ,17.8 ,,17.90 ,17.6 ,17.5 ,17.6 ,,,,17.5 ,17.9 ,17.4 ,,17.7 ,,,,17.4 ,17.7 ,17.8 ,,,,17.9 ,,17.7 ,17.4 ,17.65 ,17.90 ,17.40 ,,
,,25% ↓,24.0 ,23.0 ,24.4 ,24.0 ,24.5 ,,24.20 ,23.80 ,22.9 ,24.0 ,24.1 ,,,24.2 ,24.1 ,23.7 ,23.5 ,24.0 ,24.1 ,,24.0 ,24.2 ,24.0 ,24.2 ,24.2 ,23.4 ,,23.9 ,22.8 ,23.9 ,24.2 ,23.90 ,24.50 ,22.80 ,,
,Mal.함량,50 ↑,60.08 ,62.10 ,61.37 ,60.96 ,53.20 ,,58.5 ,62.8 ,59.6 ,57.3 ,,,,58.67 ,58.79 ,56.91 ,,61.29 ,,,,59.2 ,56.8 ,62.9 ,,,,63.95 ,,61.82 ,62.12 ,59.91 ,63.95 ,53.20 ,2.7 ,(4.40)
,,55 ↑,56.88 ,59.47 ,60.83 ,62.62 ,62.08 ,,59.4 ,59.7 ,59.4 ,56.6 ,60.7 ,,,58.48 ,60.57 ,60.64 ,58.03 ,61.38 ,59.47 ,,58.3 ,61.5 ,61.1 ,64.2 ,63.3 ,61.0 ,,59.39 ,61.80 ,61.61 ,58.71 ,60.28 ,64.21 ,56.59 ,,
,pH,4.5~7,6.39 ,6.48 ,6.38 ,6.51 ,6.32 ,,6.38 ,4.96 ,6.18 ,6.01 ,6.30 ,,,6.35 ,6.45 ,6.52 ,6.61 ,6.54 ,6.21 ,,6.21 ,6.13 ,6.28 ,5.86 ,6.25 ,5.72 ,,6.22 ,6.03 ,6.30 ,6.44 ,6.23 ,6.61 ,4.96 ,,
썬하이말토스,Bx,82 ↑ / 75 ↑,,,,,,,,,,,,,,,,,,,,,,,,,24.3 ,23.5 ,,,,,,,,,,
,Mal.함량,70 ↑,,,,,,,,,,,,,,,,,,,,,,,,,71.5 ,74.0 ,,,,,,72.76 ,73.99 ,71.53 ,,
,pH,4.5~7,,,,,,,,,,,,,,,,,,,,,,,,,4.60 ,5.67 ,,,,,,5.14 ,5.67 ,4.60 ,,
저감미물엿,수분,30% ↓,,27.2 ,27.3 ,,,,,,,,26.9 ,,,,,,27.5 ,27.1 ,,,,,27.8 ,,,,,,,26.4 ,26.7 ,27.11 ,27.80 ,26.40 ,0.4 ,2.69 
,DE,20~24,,24.6 ,21.2 ,,,,,,,,20.6 ,,,,,,23.7 ,21.3 ,,,,,20.3 ,,,,,,,22.1 ,19.9 ,21.71 ,24.60 ,19.90 ,,
,pH,4.5~7,,6.24 ,6.45 ,,,,,,,,4.83 ,,,,,,6.55 ,6.60 ,,,,,6.16 ,,,,,,,6.30 ,6.56 ,6.21 ,6.60 ,4.83 ,,
제네덱스,수  분,10% ↓,,,,,,,,,5.57 ,,,5.58 ,5.73 ,4.56 ,,4.85 ,5.12 ,3.96 ,4.51 ,4.63 ,4.45 ,4.75 ,4.63 ,4.65 ,,,,,,,,4.85 ,5.73 ,3.96 ,0.52 ,3.90 
,DE,17~19.9,,,,,,,,,11.7 ,,,17.0 ,17.1 ,16.8 ,,18.1 ,17.3 ,17.1 ,16.7 ,16.5 ,16.4 ,16.5 ,17.1 ,16.8 ,,,,,,,,16.55 ,18.10 ,11.70 ,1.5 ,
,pH,4.5~7,,,,,,,,,5.98 ,,,5.39 ,5.79 ,6.14 ,,6.35 ,6.48 ,6.47 ,6.21 ,4.96 ,4.84 ,4.9 ,4.67 ,4.65 ,,,,,,,,5.60 ,6.48 ,4.65 ,0.7 ,
제네덱스12,수  분,10% ↓,,,,,,,5.33 ,5.66 ,,5.60 ,5.15 ,,,,,,,,,,,,,,,,,,,,,5.44 ,5.66 ,5.15 ,0.24 ,6.79 
,DE,10 ~ 14,,,,,,,11.5 ,12.0 ,,12.4 ,12.1 ,,,,,,,,,,,,,,,,,,,,,12.00 ,12.40 ,11.50 ,0.4 ,
,pH,4.5~7,,,,,,,4.82 ,5.94 ,,5.84 ,4.9 ,,,,,,,,,,,,,,,,,,,,,5.39 ,5.94 ,4.82 ,0.6 ,
"이소말토
올리고당",수분,25% ↓,,,24.9 ,24.8 ,24.0 ,,,,,,,24.2 ,,,,,,,24.4 ,,,,,,,,,,23.6 ,,,24.32 ,24.90 ,23.60 ,0.5 ,0.95 
,올리고당 함량,50 ↑,,,50.72 ,50.72 ,50.4 ,,,,,,,52.4 ,,,,,,,50.2 ,,,,,,,,,,50.35 ,,,50.80 ,52.40 ,50.17 ,0.8 ,0.98 
,pH,4.5~7,,,5.36 ,5.36 ,6.02 ,,,,,,,5.61 ,,,,,,,6.2 ,,,,,,,,,,5.56 ,,,5.69 ,6.21 ,5.36 ,0.4 ,
"올리고파우더
BUP
/
올리고파우더",수분,10%↓/  7%↓ ,1.89 ,,2.33 ,2.3 ,2.85 ,2.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,2.39 ,2.85 ,1.89 ,0.4 ,21.91 
,올리고당 함량,14 ↑,,,26.96 ,27.0 ,31.05 ,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32 ,31.05 ,26.96 ,2.4 ,(2.68)
,DE,25~30,33.4 ,,32.7 ,32.0 ,30.75 ,30.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,31.92 ,33.40 ,30.75 ,,
,pH,4.5~7,5.71 ,,5.56 ,5.59 ,5.98 ,5.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,5.75 ,5.98 ,5.56 ,0.2 ,
L500,수분,25% ↓,,,,,,,,,,,,,,23.80 ,,24.50 ,,,,,,,,,,,,,,,23.9 ,24.07 ,24.50 ,23.80 ,,
,올리고당 함량,57 ↑,,,,,,,,,,,,,,64.09 ,,65.09 ,,,,,,,,,,,,,,,57.3 ,62.17 ,65.09 ,57.33 ,,
,pH,4.5~7.0,,,,,,,,,,,,,,5.77 ,,5.84 ,,,,,,,,,,,,,,,5.3 ,5.63 ,5.84 ,5.27 ,,
"말토올리고당
G4",수분,30% ↓,,,,26.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.50 ,26.50 ,26.50 ,,
,올리고당 함량,58 ↑,,,,60.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.56 ,60.56 ,60.56 ,#DIV/0!,#DIV/0!
,pH,4.5~7,,,,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73 ,4.73 ,4.73 ,#DIV/0!,#DIV/0!
과당55,Bx,75% ↑,75.8 ,76.0 ,76.0 ,75.8 ,,,76.0 ,75.6 ,75.5 ,75.5 ,75.6 ,75.8 ,,75.5 ,76.3 ,76.2 ,75.7 ,75.9 ,76.3/76.1,,75.5 ,75.6 ,75.9 ,75.5 ,76.1 ,,75.7 ,75.4 ,76.4 ,,75.9 ,75.80 ,76.40 ,75.40 ,,#DIV/0!
,Oligo당,6% ↓,5.57 ,5.78 ,5.71 ,5.90 ,,,4.72 ,4.89 ,4.65 ,4.68 ,4.82 ,5.30 ,,5.78 ,5.27 ,6.63 ,6.23 ,5.91 ,6.05/5.68,,5.04 ,6.49 ,5.89 ,5.45 ,5.93 ,,5.10 ,5.96 ,5.66 ,,5.29 ,5.53 ,6.63 ,4.65 ,0.6 ,0.80 
,Coliform group,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
